loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,is_default
40000,40000,36,8.59,1264.38,A,A5,10+ years,OWN,145000,Source Verified,01-10-2016,Fully Paid,debt_consolidation,NY,7.91,0,725,729,18,0,34793,29.6,37,0
25000,25000,36,5.32,752.87,A,A1,4 years,MORTGAGE,72000,Not Verified,01-08-2016,Fully Paid,debt_consolidation,NJ,15.33,1,710,714,9,0,19038,50.8,21,0
10000,10000,36,19.24,367.78,E,E2,2 years,RENT,56000,Source Verified,01-01-2015,Fully Paid,debt_consolidation,OH,16.76,0,675,679,15,0,6236,40,25,0
10000,10000,36,6.92,308.41,A,A4,10+ years,MORTGAGE,40000,Source Verified,01-04-2015,Fully Paid,debt_consolidation,AR,14.58,0,700,704,14,0,7857,33.4,20,0
12000,12000,36,14.64,413.88,C,C3,10+ years,MORTGAGE,95000,Source Verified,01-02-2014,Fully Paid,moving,CA,5.77,5,660,664,8,0,6608,77.7,22,0
6650,6650,36,19.72,246.2,D,D5,2 years,RENT,24343,Verified,01-04-2013,Charged Off,other,CA,13.8,0,675,679,10,0,7585,46.8,11,1
7500,7500,36,13.99,256.3,C,C4,5 years,MORTGAGE,40229,Source Verified,01-07-2015,Fully Paid,credit_card,VA,6.15,0,670,674,6,0,6671,96.7,7,0
28675,28675,36,7.89,897.12,A,A5,8 years,RENT,150000,Source Verified,01-04-2015,Fully Paid,credit_card,AZ,11.12,1,675,679,10,0,38512,74.2,33,0
11200,11200,60,21.99,309.27,E,E5,8 years,RENT,75000,Verified,01-01-2015,Charged Off,debt_consolidation,CO,17.76,0,660,664,12,1,8600,77.5,32,1
25000,25000,36,19.05,917.04,D,D4,10+ years,MORTGAGE,137500,Source Verified,01-05-2013,Fully Paid,debt_consolidation,CA,12.53,0,685,689,11,2,3664,79.7,18,0
20000,20000,36,13.99,683.46,C,C3,10+ years,MORTGAGE,75000,Not Verified,01-02-2017,Fully Paid,credit_card,OR,21.84,0,695,699,7,0,16181,85.6,28,0
34875,34875,36,18.25,1265.2,D,D3,6 years,RENT,100000,Source Verified,01-03-2014,Fully Paid,house,HI,12.49,0,705,709,10,0,19749,57.1,17,0
8000,8000,36,13.99,273.39,C,C3,3 years,RENT,90000,Source Verified,01-12-2016,Fully Paid,other,MI,14.21,0,675,679,8,1,4572,42.7,16,0
10000,10000,36,12.35,333.82,B,B4,10+ years,MORTGAGE,34000,Verified,01-07-2013,Fully Paid,debt_consolidation,TX,25.27,0,705,709,14,0,4855,32.4,44,0
9100,9100,36,10.15,294.28,B,B2,1 year,MORTGAGE,36000,Not Verified,01-05-2014,Fully Paid,credit_card,CA,8.67,0,695,699,13,0,6753,22.7,14,0
9600,9600,36,7.49,298.58,A,A4,1 year,MORTGAGE,40000,Not Verified,01-02-2015,Fully Paid,debt_consolidation,MS,10.32,0,695,699,10,0,7740,45.8,12,0
20000,20000,36,12.29,667.06,C,C1,10+ years,RENT,86000,Verified,01-04-2015,Charged Off,other,FL,19.96,0,695,699,10,1,17167,43.6,20,1
15000,15000,36,10.49,487.47,B,B3,10+ years,RENT,124140,Source Verified,01-06-2016,Fully Paid,debt_consolidation,GA,9.62,0,670,674,6,1,1106,12.2,23,0
18000,18000,60,20,476.89,D,D4,5 years,MORTGAGE,170000,Verified,01-05-2017,Fully Paid,debt_consolidation,WI,24.5,0,670,674,23,1,29257,39.7,80,0
36000,36000,60,10.42,772.36,B,B3,4 years,MORTGAGE,70200,Verified,01-11-2017,Fully Paid,debt_consolidation,GA,12.61,0,715,719,17,0,4756,7.9,30,0
9500,9500,36,6.99,293.29,A,A2,< 1 year,RENT,68000,Source Verified,01-12-2016,Fully Paid,credit_card,CA,9.14,0,740,744,3,0,8252,54.3,11,0
16800,16800,36,10.42,545.41,B,B3,1 year,RENT,85000,Not Verified,01-10-2017,Fully Paid,debt_consolidation,FL,25.67,0,695,699,14,0,9334,34,19,0
13000,13000,36,11.47,428.51,B,B5,1 year,MORTGAGE,70000,Source Verified,01-04-2016,Fully Paid,debt_consolidation,FL,18.96,0,680,684,10,0,18465,86.7,31,0
11000,11000,36,10.49,357.48,B,B3,10+ years,RENT,37000,Source Verified,01-01-2015,Fully Paid,debt_consolidation,OH,16.19,0,665,669,5,1,11066,79,7,0
12000,12000,36,10.99,392.81,B,B2,5 years,RENT,40000,Not Verified,01-10-2013,Fully Paid,credit_card,MO,23.53,0,715,719,10,0,10873,61.1,18,0
12000,12000,36,15.61,419.58,C,C4,6 years,MORTGAGE,115000,Verified,01-01-2014,Fully Paid,debt_consolidation,AK,15.53,0,680,684,10,0,19283,61.8,25,0
16000,16000,36,8.24,503.16,B,B1,10+ years,RENT,71000,Source Verified,01-12-2016,Fully Paid,credit_card,FL,15.88,2,670,674,18,0,16247,56.4,32,0
13500,13500,36,11.67,446.27,B,B4,3 years,MORTGAGE,55676,Source Verified,01-06-2014,Fully Paid,credit_card,WI,17.65,0,680,684,8,1,10217,91.2,17,0
18000,18000,60,9.99,382.36,B,B3,1 year,RENT,58000,Source Verified,01-04-2015,Charged Off,credit_card,FL,20.15,0,680,684,12,0,14069,57.2,22,1
20000,20000,60,15.61,482.23,D,D1,< 1 year,OWN,50000,Source Verified,01-08-2015,Charged Off,credit_card,FL,11.8,0,670,674,8,1,14332,71.7,19,1
14050,14050,60,18.24,358.62,D,D5,2 years,RENT,32000,Source Verified,01-07-2014,Fully Paid,debt_consolidation,GA,9.14,0,660,664,9,1,8535,46.9,20,0
10000,10000,36,11.47,329.62,B,B5,Unknown,RENT,37000,Verified,01-03-2016,Fully Paid,debt_consolidation,NY,26.31,0,695,699,10,0,22405,49.7,13,0
16875,16875,36,6.49,517.13,A,A2,7 years,RENT,98000,Not Verified,01-07-2014,Fully Paid,credit_card,PA,18.09,0,700,704,13,0,18854,57.1,42,0
20000,20000,60,13.66,461.85,C,C3,10+ years,MORTGAGE,100000,Source Verified,01-01-2015,Fully Paid,debt_consolidation,MI,20.76,0,685,689,12,0,26809,80,29,0
7000,7000,36,12.59,234.48,C,C2,2 years,RENT,35000,Verified,01-12-2015,Charged Off,debt_consolidation,TX,33.37,1,670,674,17,0,9461,39.4,25,1
35000,35000,60,20.49,936.86,E,E1,10+ years,RENT,82884,Verified,01-12-2012,Fully Paid,debt_consolidation,TX,25.44,0,700,704,9,0,27049,78.6,27,0
19400,19400,36,17.99,701.26,D,D2,< 1 year,RENT,50900,Source Verified,01-06-2016,Charged Off,debt_consolidation,FL,15.11,0,660,664,13,1,6966,31.1,29,1
10000,10000,36,12.29,333.53,C,C1,10+ years,RENT,32000,Source Verified,01-08-2015,Charged Off,debt_consolidation,FL,34.36,0,665,669,12,1,24637,71.2,22,1
29250,29250,60,18.24,746.59,D,D5,10+ years,OWN,120000,Verified,01-07-2014,Fully Paid,debt_consolidation,MN,26.03,0,685,689,20,0,47583,72.4,40,0
1300,1300,36,8.24,40.89,B,B1,10+ years,RENT,66000,Source Verified,01-12-2016,Charged Off,debt_consolidation,MN,19.64,0,665,669,12,0,16256,91.8,30,1
7000,7000,36,11.89,232.15,B,B4,1 year,RENT,108000,Source Verified,01-03-2009,Fully Paid,house,SC,7.04,0,790,794,4,0,2759,11,14,0
9000,9000,36,12.99,303.21,C,C1,< 1 year,RENT,46000,Not Verified,01-08-2014,Fully Paid,debt_consolidation,NV,14.09,0,675,679,6,0,6911,47,24,0
9925,9925,36,12.99,334.37,C,C2,Unknown,MORTGAGE,72198,Verified,01-06-2016,Fully Paid,other,VA,11.54,0,670,674,14,0,9475,96.7,23,0
12000,12000,60,13.18,274.15,C,C3,3 years,RENT,80000,Not Verified,01-12-2015,Fully Paid,debt_consolidation,AZ,18.86,0,720,724,26,1,4931,32,42,0
5000,5000,36,7.68,155.96,A,A2,1 year,MORTGAGE,40308,Not Verified,01-01-2009,Fully Paid,car,TX,5.78,0,800,804,10,0,5312,7.2,19,0
10000,10000,36,10.99,327.34,B,B3,6 years,RENT,40000,Source Verified,01-10-2014,Fully Paid,debt_consolidation,FL,14.88,0,690,694,8,0,7179,63.5,24,0
20000,20000,36,11.99,664.2,C,C1,10+ years,MORTGAGE,80000,Verified,01-03-2016,Fully Paid,debt_consolidation,SC,15.24,2,660,664,9,0,10781,46.7,31,0
23425,23425,36,11.99,777.94,B,B5,9 years,MORTGAGE,51000,Verified,01-11-2014,Fully Paid,credit_card,NV,35.76,0,700,704,11,0,39437,54.5,21,0
17000,17000,36,5.32,511.96,A,A1,7 years,MORTGAGE,150000,Not Verified,01-03-2017,Fully Paid,debt_consolidation,NY,9.66,0,750,754,18,3,7003,17.9,33,0
7200,7200,36,14.11,246.45,D,D1,1 year,OWN,42996,Not Verified,01-04-2009,Fully Paid,other,PA,13.62,0,700,704,3,0,1621,40.5,6,0
18000,18000,36,5.31,541.99,A,A1,10+ years,MORTGAGE,95000,Not Verified,01-04-2018,Fully Paid,debt_consolidation,TX,1.31,0,780,784,5,0,5421,12.5,25,0
10000,10000,36,13.49,339.31,C,C2,5 years,MORTGAGE,86000,Verified,01-09-2016,Fully Paid,debt_consolidation,CA,14.58,0,685,689,11,0,82908,56.8,28,0
5500,5500,36,12.99,185.3,C,C2,8 years,OWN,45000,Not Verified,01-01-2015,Fully Paid,credit_card,WV,20.54,0,670,674,20,0,11420,63.1,49,0
14000,14000,36,9.49,448.4,B,B2,10+ years,OWN,55000,Source Verified,01-01-2015,Fully Paid,debt_consolidation,TX,31.92,0,705,709,15,0,18685,47.2,37,0
5000,5000,60,13.61,115.34,C,C2,3 years,RENT,45000,Verified,01-10-2010,Charged Off,other,TX,21.81,0,715,719,10,0,0,0,16,1
4500,4500,36,10.74,146.78,B,B4,< 1 year,RENT,50000,Not Verified,01-04-2011,Fully Paid,wedding,PA,12.82,5,675,679,9,0,713,39.6,14,0
8000,8000,36,7.69,249.55,A,A4,10+ years,MORTGAGE,45000,Source Verified,01-10-2014,Fully Paid,debt_consolidation,MA,15.36,0,660,664,10,1,11125,51,23,0
10000,10000,36,9.49,320.29,B,B2,2 years,MORTGAGE,115000,Source Verified,01-09-2016,Fully Paid,debt_consolidation,MI,9.98,1,700,704,11,0,5494,15.3,36,0
17250,17250,60,17.86,436.73,D,D5,< 1 year,RENT,35000,Source Verified,01-06-2015,Fully Paid,debt_consolidation,MA,26.99,0,695,699,5,0,10020,92.8,11,0
8000,8000,36,13.99,273.39,C,C4,2 years,RENT,41000,Source Verified,01-07-2015,Fully Paid,moving,VA,17.71,0,670,674,8,0,1467,77.2,20,0
15000,15000,36,19.03,550.07,D,D3,10+ years,MORTGAGE,41000,Source Verified,01-06-2017,Fully Paid,debt_consolidation,IL,26.61,0,675,679,18,1,15748,43.4,27,0
10000,10000,36,13.49,339.31,C,C2,2 years,MORTGAGE,113300,Not Verified,01-07-2016,Fully Paid,debt_consolidation,CO,13.52,0,665,669,12,0,30909,58.8,28,0
8500,8500,36,14.46,292.42,C,C4,6 years,RENT,40000,Verified,01-06-2016,Fully Paid,debt_consolidation,UT,39.72,0,705,709,4,0,6450,99.2,9,0
14400,14400,60,17.57,362.31,D,D4,10+ years,RENT,81000,Source Verified,01-02-2015,Charged Off,debt_consolidation,NY,24.18,1,660,664,10,0,36323,78.6,35,1
21000,21000,36,11.47,692.2,B,B5,9 years,MORTGAGE,54000,Verified,01-03-2016,Fully Paid,debt_consolidation,FL,31.49,0,705,709,17,0,20610,34.5,32,0
22300,22300,36,13.99,762.06,C,C4,10+ years,RENT,48500,Verified,01-03-2015,Fully Paid,credit_card,KS,19.33,0,685,689,11,0,32032,89.7,20,0
5025,5025,36,16.99,179.13,D,D3,5 years,RENT,45000,Verified,01-11-2015,Fully Paid,debt_consolidation,NY,2.94,0,740,744,10,0,5413,12.8,13,0
2000,2000,36,14.99,69.33,C,C4,2 years,RENT,60000,Source Verified,01-12-2016,Fully Paid,other,ND,13.56,0,665,669,13,0,8389,43,15,0
6000,6000,36,12.12,199.63,B,B3,Unknown,MORTGAGE,70000,Verified,01-12-2012,Fully Paid,major_purchase,AK,13.34,0,680,684,5,0,9528,56,9,0
3000,3000,36,15.61,104.9,D,D1,10+ years,RENT,36000,Verified,01-04-2015,Charged Off,vacation,NC,31,0,680,684,9,0,13755,51.7,15,1
8000,8000,36,6.49,245.16,A,A2,1 year,RENT,39000,Not Verified,01-10-2014,Charged Off,debt_consolidation,MO,20.98,0,690,694,20,1,9691,47.5,31,1
2500,2500,36,15.41,87.17,D,D1,2 years,RENT,22800,Verified,01-11-2015,Fully Paid,other,OH,15.42,0,695,699,16,0,2914,37.4,30,0
23500,23500,60,19.05,610.25,D,D4,10+ years,MORTGAGE,60000,Verified,01-07-2012,Fully Paid,debt_consolidation,NY,26.1,1,700,704,10,0,52316,82.9,41,0
15000,15000,60,18.06,381.4,D,D2,10+ years,MORTGAGE,75000,Verified,01-01-2018,Fully Paid,other,NY,18.48,0,705,709,21,0,13600,20,36,0
24000,24000,36,11.99,797.03,C,C1,4 years,MORTGAGE,167000,Verified,01-03-2016,Fully Paid,home_improvement,NJ,13.54,0,720,724,8,2,6916,19.6,10,0
7000,7000,36,16.02,246.17,C,C5,2 years,RENT,43000,Source Verified,01-09-2017,Charged Off,debt_consolidation,FL,27.91,0,685,689,20,1,6939,26.2,30,1
11800,11800,36,17.57,424.06,D,D4,10+ years,OWN,80000,Verified,01-08-2015,Charged Off,home_improvement,TX,24.59,0,665,669,12,0,7819,53.9,20,1
17000,17000,36,6.49,520.96,A,A2,10+ years,OWN,84429,Source Verified,01-06-2016,Fully Paid,credit_card,TX,25.92,0,750,754,12,0,18800,33.8,20,0
6500,6500,36,13.67,221.12,C,C3,1 year,RENT,30000,Source Verified,01-03-2016,Fully Paid,debt_consolidation,NY,15.24,0,695,699,15,1,4239,18,21,0
17000,17000,36,9.67,545.92,B,B1,5 years,MORTGAGE,110000,Not Verified,01-02-2014,Fully Paid,credit_card,TX,5.32,1,675,679,9,0,19745,60.6,28,0
21000,21000,36,10.15,679.1,B,B2,10+ years,MORTGAGE,78000,Source Verified,01-07-2014,Fully Paid,debt_consolidation,PA,20.97,0,710,714,17,1,26925,64.4,34,0
16000,16000,36,12.99,539.03,C,C2,6 years,RENT,53000,Verified,01-06-2016,Fully Paid,credit_card,CO,23.69,0,665,669,9,1,15830,85.6,19,0
35000,35000,36,17.09,1249.42,D,D1,7 years,MORTGAGE,110000,Source Verified,01-07-2017,Fully Paid,home_improvement,NJ,13.37,3,695,699,15,0,7884,14.9,27,0
15000,15000,60,9.17,312.62,B,B2,5 years,MORTGAGE,47000,Source Verified,01-04-2015,Fully Paid,debt_consolidation,MD,13.99,0,720,724,14,0,10890,28.4,23,0
7475,7475,36,11.99,248.25,C,C1,Unknown,MORTGAGE,22000,Not Verified,01-04-2016,Charged Off,debt_consolidation,AZ,23.95,0,660,664,12,0,7700,64.7,13,1
10000,10000,36,7.26,309.97,A,A4,10+ years,OWN,120000,Source Verified,01-11-2015,Fully Paid,credit_card,FL,22.29,0,740,744,11,0,45955,76.1,20,0
28000,28000,36,15.61,979.02,D,D1,10+ years,RENT,74000,Source Verified,01-06-2015,Charged Off,debt_consolidation,OH,18.18,0,695,699,11,0,13491,56,14,1
10000,10000,36,6.03,304.36,A,A1,10+ years,MORTGAGE,103000,Not Verified,01-02-2015,Fully Paid,debt_consolidation,NY,15.58,0,690,694,20,1,26235,49.9,35,0
14000,14000,36,11.22,459.81,B,B5,4 years,RENT,47000,Verified,01-12-2015,Fully Paid,debt_consolidation,FL,30.54,0,685,689,20,0,11543,79.1,24,0
6000,6000,36,12.05,199.43,C,C1,10+ years,MORTGAGE,122000,Source Verified,01-11-2015,Fully Paid,home_improvement,SC,19.22,0,665,669,19,1,23291,77.1,39,0
27500,27500,60,12.99,625.57,C,C1,9 years,MORTGAGE,66000,Verified,01-10-2014,Fully Paid,credit_card,FL,24.64,0,695,699,23,0,30805,51.1,40,0
28000,28000,36,8.9,889.09,A,A5,10+ years,MORTGAGE,109000,Not Verified,01-05-2014,Fully Paid,credit_card,KY,13.48,0,715,719,5,0,62841,83.8,17,0
23925,23925,36,14.16,819.57,C,C2,Unknown,OWN,57000,Verified,01-03-2014,Charged Off,debt_consolidation,LA,24.91,0,700,704,15,0,26031,47.4,30,1
9000,9000,36,7.21,278.76,A,A3,7 years,MORTGAGE,99000,Not Verified,01-11-2017,Fully Paid,home_improvement,VA,11.36,0,680,684,13,1,4598,7.3,45,0
12000,12000,36,14.65,413.94,C,C2,6 years,MORTGAGE,57000,Not Verified,01-04-2012,Fully Paid,credit_card,VA,11.96,0,680,684,12,0,14815,48.9,19,0
9000,9000,36,10.65,293.16,B,B2,9 years,MORTGAGE,74000,Source Verified,01-12-2011,Fully Paid,credit_card,SD,8.89,0,705,709,7,0,7388,71.7,10,0
22400,22400,60,23.99,644.28,E,E4,8 years,RENT,100000,Source Verified,01-06-2016,Fully Paid,credit_card,NY,12.05,0,740,744,6,0,9119,41.6,14,0
13500,13500,60,22.47,376.48,E,E5,2 years,RENT,60000,Verified,01-05-2013,Fully Paid,debt_consolidation,WI,16.32,0,695,699,20,0,12019,76.1,50,0
8000,8000,36,10.75,260.97,B,B4,10+ years,OWN,90000,Source Verified,01-04-2016,Fully Paid,home_improvement,MI,4.74,0,670,674,6,0,22689,79.6,18,0
12000,12000,36,9.17,382.55,B,B1,10+ years,RENT,88000,Not Verified,01-07-2014,Fully Paid,debt_consolidation,TX,26.52,0,710,714,8,0,1923,76.9,41,0
4000,4000,36,11.98,132.82,B,B5,4 years,MORTGAGE,70000,Not Verified,01-04-2018,Fully Paid,credit_card,NE,7.05,0,725,729,5,0,9882,65.9,5,0
19125,19125,60,14.33,448.29,C,C2,10+ years,RENT,60000,Source Verified,01-08-2013,Fully Paid,home_improvement,GA,13.66,0,685,689,8,1,655,4.6,21,0
1800,1800,36,15.61,62.94,D,D1,1 year,RENT,28000,Source Verified,01-09-2015,Charged Off,credit_card,TX,30.48,0,660,664,28,0,9728,79.1,31,1
12000,12000,36,7.97,375.88,A,A5,2 years,RENT,55000,Not Verified,01-11-2017,Fully Paid,debt_consolidation,AZ,26.95,0,730,734,10,0,434,2.6,25,0
10000,10000,36,6.49,306.45,A,A2,10+ years,RENT,38000,Source Verified,01-10-2014,Fully Paid,credit_card,NY,26.11,0,735,739,11,0,13248,38.4,38,0
18000,18000,36,11.99,597.78,B,B5,< 1 year,MORTGAGE,65000,Source Verified,01-11-2014,Fully Paid,debt_consolidation,UT,20.12,1,680,684,13,0,15052,78.8,24,0
6000,6000,36,13.56,203.79,C,C1,7 years,MORTGAGE,32000,Not Verified,01-11-2018,Fully Paid,other,TX,12.27,0,695,699,6,0,1706,21.9,13,0
12000,12000,60,12.79,271.75,C,C1,9 years,MORTGAGE,130000,Verified,01-09-2016,Fully Paid,debt_consolidation,TX,12.78,0,710,714,9,0,4304,19.7,19,0
10000,10000,36,15.31,348.18,C,C2,10+ years,MORTGAGE,48000,Verified,01-04-2013,Charged Off,debt_consolidation,DE,13.18,1,675,679,5,0,6416,75.5,14,1
12000,12000,36,9.99,387.15,B,B3,3 years,RENT,95000,Source Verified,01-06-2015,Charged Off,debt_consolidation,TN,21.84,0,670,674,13,1,7251,58.5,39,1
12000,12000,36,8.18,377.04,B,B1,4 years,MORTGAGE,96000,Source Verified,01-04-2015,Fully Paid,other,CA,17.31,0,750,754,8,0,56207,30.3,14,0
9000,9000,36,9.17,286.92,B,B2,3 years,RENT,101000,Verified,01-12-2015,Charged Off,debt_consolidation,NC,23.96,0,725,729,10,1,24139,41.3,26,1
6000,6000,36,12.12,199.63,B,B3,4 years,RENT,50000,Not Verified,01-01-2013,Fully Paid,debt_consolidation,NY,26.95,0,680,684,8,0,26833,88,19,0
